regime,n,baseline_RMSE,model_RMSE,relative_RMSE_gain,model_QLIKE
low,2508,0.0014327936613795125,0.0012497711200106078,0.12773824054517957,0.3032182274875841
medium,948,0.0019064712110298681,0.0017281295123400544,0.09354544545861476,0.2900925540425786
