model,mean_weight,mean_turnover_5m,annualized_sharpe,total_log_return_approx,annualized_vol
persistence,1.2888056255324882,0.05999623286799459,-8.116919053634694,-0.10596875649069235,0.397213429813978
ridge,1.3286321418698748,0.11534096784618796,-14.586476129940399,-0.1981240855397365,0.4132607788963697
gbt,1.2129799135241588,0.06797418496975059,-10.648182979365918,-0.13072084862375602,0.3735138013118578
mlp,1.3348379515740352,0.12345233067148588,-14.923041558106872,-0.20926053876434414,0.42664561974312765
