model,RMSE,MAE,QLIKE
gbt,0.001397382248140524,0.0009885465561076745,0.29961778234121106
ridge,0.0013889286903694027,0.0009417599968166404,0.3354307803427286
persistence,0.0015769515908239562,0.001085385320215904,0.6146771596057742
mlp,0.0017486445595569086,0.001249080984363531,0.7311598709006621
